onet_code,title,description,tasks,skills,riasec_code
15-1252.00,Software Developer,Design and build software systems...,Write code; debug applications; collaborate with teams,Python; algorithms; system design,I
19-1042.00,Medical Scientist,Conduct research to understand diseases...,Design experiments; analyze data; publish findings,Biology; statistics; research methods,I
25-2021.00,Elementary School Teacher,Educate young students...,Plan lessons; assess progress; communicate with parents,Pedagogy; communication; patience,S
17-2141.00,Mechanical Engineer,Design mechanical systems...,Draft designs; test prototypes; solve physical problems,CAD; physics; materials science,R
11-1021.00,General Manager,Oversee business operations...,Lead teams; manage budgets; set strategy,Leadership; finance; communication,E
43-3031.00,Bookkeeping Clerk,Maintain financial records...,Record transactions; reconcile accounts; prepare reports,Accounting software; attention to detail; mathematics,C
27-1024.00,Graphic Designer,Create visual content...,Design layouts; use design software; collaborate with clients,Adobe Suite; typography; color theory,A
15-1221.00,Computer and Information Research Scientist,Conduct research into fundamental computer science.,Analyze problems to develop solutions.,Python; C++; Machine Learning; Data Analysis,I
29-1141.00,Registered Nurse,Assess patient health problems and needs.,Maintain accurate detailed reports and records.,Patient Care; Empathy; Critical Thinking,S
11-9041.00,Architectural and Engineering Manager,Plan direct or coordinate activities in architecture.,Coordinate and direct projects making detailed plans.,Leadership; Project Management; CAD,E
13-2011.00,Accountant and Auditor,Examine analyze and interpret accounting records.,Prepare financial reports and tax returns.,Accounting; Excel; Details; Tax,C
17-2051.00,Civil Engineer,Perform engineering duties in planning.,Inspect project sites to monitor progress.,AutoCAD; Surveying; Infrastructure,R
27-1011.00,Art Director,Formulate design concepts.,Review and approve art and copy materials.,Design; Typography; Creativity,A
25-1032.00,Engineering Teacher Postsecondary,Teach courses pertaining to the application of physical laws.,Prepare and deliver lectures.,Teaching; Engineering; Physics,S
47-2031.00,Carpenter,Construct erect install or repair structures.,Measure and mark cutting lines on materials.,Woodworking; Tools; Math; Precision,R
27-2011.00,Actor,Play parts in stage television radio productions.,Read scripts and perform acting roles.,Acting; Memorization; Expression,A
19-1029.00,Biological Scientist,Conduct biological research and experiments.,Investigate properties of biological systems.,Biology; Lab Equipment; Data Analysis,I
21-1012.00,Educational Guidance Counselor,Advise and assist students.,Evaluate students abilities and interests.,Counseling; Empathy; Communication,S
41-2031.00,Retail Salesperson,Sell merchandise such as furniture motor vehicles.,Greet customers and ascertain what each customer wants.,Sales; Customer Service; Persuasion,E
43-4051.00,Customer Service Representative,Interact with customers to provide information.,Resolve customers service or billing complaints.,Communication; Patience; Problem Solving,C
49-3023.00,Automotive Service Technician,Diagnose adjust repair or overhaul automotive vehicles.,Test drive vehicles and test components.,Mechanics; Diagnostics; Tools; Repair,R
27-3022.00,Reporter and Journalist,Narrate or write news stories for publication.,Investigate breaking news developments.,Writing; Research; Ethics,A
15-1211.00,Computer Systems Analyst,Analyze science engineering business problems.,Analyze user requirements procedures and problems.,Systems Analysis; IT; Troubleshooting,I
29-2061.00,Licensed Practical Nurse,Care for ill injured or convalescing patients.,Administer prescribed medications.,Patient Care; Vitals; Empathy,S
13-1111.00,Management Analyst,Conduct organizational studies and evaluations.,Document findings of study and prepare recommendations.,Analysis; Strategy; Presentation Skills,E
33-3051.00,Police and Sheriffs Patrol Officer,Maintain order and protect life and property.,Patrol assigned area to enforce laws.,Patrolling; Law Enforcement; Safety,R
